"","data_product","data_table","data_column","variable","data_type","questions"
"122","ISCN3","profile","observation_date (YYYY-MM-DD)","observation_date","value_date","NA"
"123","ISCN3","layer","observation_date (YYYY-MM-DD)","observation_date","value_date","NA"
"124","ISCN3","layer","oc (percent)","carbon_organic","value_number","NA"
"125","ISCN3","layer","p_bray (specified by p_units)","extractable_p","value_number","NA"
"126","ISCN3","layer","p_meh (specified by p_units)","extractable_p","value_number","NA"
"127","ISCN3","layer","p_other (specified by p_units)","extractable_p","value_number","NA"
"128","ISCN3","layer","p_ox (specified by p_units)","extractable_p","value_number","NA"
"129","ISCN3","layer","p_units (extract_units)","extractable_p","unit","NA"
"130","ISCN3","layer","p_method","extractable_p","method","NA"
"131","ISCN3","layer","ph_method","pH","method","NA"
"132","ISCN3","layer","ph_cacl","pH","value_number","NA"
"133","ISCN3","layer","ph_h2o","pH","value_number","NA"
"134","ISCN3","layer","ph_other","pH","value_number","NA"
"135","ISCN3","dataset","soc_pcount_ISCN","soil_organic_carbon_ISCN_count","method","NA"
"136","ISCN3","profile","layer_bot (cm)","depth_lower","value_number","NA"
"137","ISCN3","dataset","total_pcount","total_count","method","NA"
"138","ISCN3","profile","profile_name","profile_name","id","NA"
"139","ISCN3","layer","profile_name","profile_name","id","NA"
"140","ISCN3","profile","dataset_name_soc","soil_organic_carbon","method","NA"
"141","ISCN3","profile","soc (g cm-2)","soil_organic_carbon","value_number","NA"
"142","ISCN3","profile","soc_method","soil_organic_carbon","method","NA"
"143","ISCN3","profile","soc_carbon_flag","soil_organic_carbon","value_factor","NA"
"144","ISCN3","dataset","soc_pcount","soil_organic_carbon_count","method","NA"
"145","ISCN3","profile","soc_depth (cm)","soil_organic_carbon_depth","value_number","NA"
"146","ISCN3","profile","soc_spatial_flag","soil_organic_carbon_spatial_flag","value_factor","NA"
"147","ISCN3","profile","layer_top (cm)","depth_upper","value_number","NA"
"148","ISCN3","profile","profile_zero_ref (profile_zero_ref)","zero_reference","value_string","NA"
"149","ISCN3","citation","reference","reference","value_string","NA"
"150","ISCN3","layer","root_quant_size","root_quant_size","value_number","NA"
"151","ISCN3","layer","root_weight (g)","root_weight","value_number","NA"
"152","ISCN3","profile","runoff (runoff)","runoff","value_factor","NA"
