variable_location,data_product,data_table,data_column,variable
column_name,ISCN3,profile,site_perm (site_perm),site_permeability
column_name,ISCN3,dataset,soc_scount,soil_organic_carbon_count
column_name,ISCN3,profile,slope (percent),slope
column_name,ISCN3,layer,dataset_name_soc,soil_organic_carbon
column_name,ISCN3,layer,soc (g cm-2),soil_organic_carbon
column_name,ISCN3,layer,soc_carbon_flag,soil_organic_carbon
column_name,ISCN3,layer,soc_method,soil_organic_carbon
column_name,ISCN3,profile,soil_series,soil_series
column_name,ISCN3,layer,soil_series,soil_series
column_name,ISCN3,profile,soil_taxon,soil_taxon
column_name,ISCN3,layer,soil_taxon,soil_taxon
column_name,ISCN3,profile,state (state_province),state
column_name,ISCN3,layer,state (state_province),state
column_name,ISCN3,profile,surface_veg,surface_vegetation
column_name,ISCN3,layer,textureClass,soil_texture_class
column_name,ISCN3,profile,thaw_depth_profile (cm),thaw_depth
column_name,ISCN3,profile,vegclass_local,vegetation_class
column_name,ISCN3,layer,vegclass_local,vegetation_class
column_name,ISCN3,layer,wpg2_method,coarse_fraction
column_name,ISCN3,layer,wpg2 (percent),coarse_fraction
column_name,ISCN3,layer,zn_ext (specified by metal_ext_units),zinc_extractable
column_name,ISCN3,layer,metal_ext_units (extract_units),zinc_extractable
column_name,ISCN3,layer,metal_ext_method,zinc_extractable
column_name,CCRCN,Study Information,study_id,dataset_name
column_name,CCRCN,Study Information,one_liner,one_liner
column_name,CCRCN,Study Information,study_code,study_code
column_name,CCRCN,Study Information,study_start_date,treatment_duration_start
column_name,CCRCN,Study Information,study_end_date,treatment_duration_end
column_name,CCRCN,Study Information,title,title
column_name,CCRCN,Study Information,abstract,abstract
column_name,CCRCN,Keywords,study_id,dataset_name
column_name,CCRCN,Keywords,key_words,key_words
column_name,CCRCN,Authors,study_id,dataset_name
column_name,CCRCN,Authors,last_name,last_name
column_name,CCRCN,Authors,given_name,given_name
column_name,CCRCN,Authors,institution,institution
column_name,CCRCN,Authors,email,email
column_name,CCRCN,Authors,address,address
column_name,CCRCN,Authors,phone,phone
column_name,CCRCN,Authors,corresponding_author,corresponding_author
column_name,CCRCN,Funding Sources,study_id,dataset_name
column_name,CCRCN,Funding Sources,funding_agency,funding_agency
column_name,CCRCN,Funding Sources,funding_id,funding_name
column_name,CCRCN,Funding Sources,funding_notes,funding_notes
column_name,CCRCN,Associated Publications,study_id,dataset_name
column_name,CCRCN,Associated Publications,bibtex_citation,citation
column_name,CCRCN,Associated Publications,publication_type,publication_type
column_name,CCRCN,Associated Publications,author,author
column_name,CCRCN,Associated Publications,year,year
column_name,CCRCN,Associated Publications,title,title
column_name,CCRCN,Associated Publications,journal,journal
column_name,CCRCN,Associated Publications,volume,volume
column_name,CCRCN,Associated Publications,number,number
column_name,CCRCN,Associated Publications,pages,pages
column_name,CCRCN,Associated Publications,url,url
column_name,CCRCN,Associated Publications,doi,doi
column_name,CCRCN,Associated Publications,address,address
column_name,CCRCN,Associated Publications,annote,annote
column_name,CCRCN,Associated Publications,booktitle,booktitle
column_name,CCRCN,Associated Publications,chapter,chapter
column_name,CCRCN,Associated Publications,crossref,reference
column_name,CCRCN,Associated Publications,edition,edition
column_name,CCRCN,Associated Publications,editor,editor
column_name,CCRCN,Associated Publications,howpublished,publication_method
column_name,CCRCN,Associated Publications,institution,institution
column_name,CCRCN,Associated Publications,key,key
column_name,CCRCN,Associated Publications,month,month
column_name,CCRCN,Associated Publications,note,note
column_name,CCRCN,Associated Publications,organization,organization
column_name,CCRCN,Associated Publications,publisher,publisher
column_name,CCRCN,Associated Publications,school,school
column_name,CCRCN,Associated Publications,series,series
column_name,CCRCN,Associated Publications,type,type
column_name,CCRCN,Materials and Methods,study_id,dataset_name
column_name,CCRCN,Materials and Methods,coring_method,coring_method
column_name,CCRCN,Materials and Methods,roots_flag,roots_flag
column_name,CCRCN,Materials and Methods,sediment_sieved_flag,sediment_sieved_flag
column_name,CCRCN,Materials and Methods,sediment_sieve_size,sediment_sieve_size
column_name,CCRCN,Materials and Methods,compaction_flag,compaction_flag
column_name,CCRCN,Materials and Methods,dry_bulk_density_temperature,bulk_density_dry_temperature
column_name,CCRCN,Materials and Methods,dry_bulk_density_time,bulk_density_dry_time
column_name,CCRCN,Materials and Methods,dry_bulk_density_sample_volume,bulk_density_dry_sample_volume
column_name,CCRCN,Materials and Methods,dry_bulk_density_sample_mass,bulk_density_dry_sample_mass
column_name,CCRCN,Materials and Methods,dry_bulk_density_flag,bulk_density_dry_flag
column_name,CCRCN,Materials and Methods,loss_on_ignition_temperature,loss_on_ignition_temperature
column_name,CCRCN,Materials and Methods,loss_on_ignition_time,loss_on_ignition_time
column_name,CCRCN,Materials and Methods,loss_on_ignition_sample_volume,loss_on_ignition_sample_volume
column_name,CCRCN,Materials and Methods,loss_on_ignition_sample_mass,loss_on_ignition_sample_mass
column_name,CCRCN,Materials and Methods,loss_on_ignition_flag,loss_on_ignition_flag
column_name,CCRCN,Materials and Methods,carbon_measured_or_modeled,fraction_carbon_method
column_name,CCRCN,Materials and Methods,carbonates_removed,carbonates_removed
column_name,CCRCN,Materials and Methods,carbonate_removal_method,carbonate_removal_method
column_name,CCRCN,Materials and Methods,fraction_carbon_method,fraction_carbon_method
column_name,CCRCN,Materials and Methods,fraction_carbon_type,carbon_organic
column_name,CCRCN,Materials and Methods,carbon_profile_notes,carbon_profile_notes
column_name,CCRCN,Materials and Methods,cs137_counting_method,137cs
column_name,CCRCN,Materials and Methods,pb210_counting_method,210pb
column_name,CCRCN,Materials and Methods,excess_pb210_rate,excess_210pb
column_name,CCRCN,Materials and Methods,excess_pb210_model,excess_210pb
column_name,CCRCN,Materials and Methods,ra226_assumption,226ra
column_name,CCRCN,Materials and Methods,c14_counting_method,14c
column_name,CCRCN,Materials and Methods,dating_notes,dating_notes
column_name,CCRCN,Materials and Methods,age_depth_model_reference,age_depth_model
column_name,CCRCN,Materials and Methods,age_depth_model_notes,age_depth_model
column_name,CCRCN,Site Level,study_id,dataset_name
column_name,CCRCN,Site Level,site_id,site_name
column_name,CCRCN,Site Level,site_description,site_description
column_name,CCRCN,Site Level,site_latitude_max,latitude
column_name,CCRCN,Site Level,site_latitude_min,latitude
column_name,CCRCN,Site Level,site_longitude_max,longitude
column_name,CCRCN,Site Level,site_longitude_min,longitude
column_name,CCRCN,Site Level,site_boundaries,site_boundaries
column_name,CCRCN,Site Level,salinity_class,salinity
column_name,CCRCN,Site Level,salinity_method,salinity
column_name,CCRCN,Site Level,salinity_notes,salinity
column_name,CCRCN,Site Level,vegetation_class,vegetation
column_name,CCRCN,Site Level,vegetation_method,vegetation
column_name,CCRCN,Site Level,vegetation_notes,vegetation
column_name,CCRCN,Site Level,inundation_class,inundation
column_name,CCRCN,Site Level,inundation_method,inundation
column_name,CCRCN,Site Level,inundation_notes,inundation
column_name,CCRCN,Core Level,study_id,dataset_name
column_name,CCRCN,Core Level,site_id,site_name
column_name,CCRCN,Core Level,core_id,core_name
column_name,CCRCN,Core Level,core_date,core_date
column_name,CCRCN,Core Level,core_notes,core_notes
column_name,CCRCN,Core Level,core_latitude,latitude
column_name,CCRCN,Core Level,core_longitude,longitude
column_name,CCRCN,Core Level,core_position_accuracy,position_accuracy
column_name,CCRCN,Core Level,core_position_method,position_method
column_name,CCRCN,Core Level,core_position_notes,position_notes
column_name,CCRCN,Core Level,core_elevation,elevation
column_name,CCRCN,Core Level,core_elevation_datum,elevation_datum
column_name,CCRCN,Core Level,core_elevation_accuracy,elevation_accuracy
column_name,CCRCN,Core Level,core_elevation_method,elevation_method
column_name,CCRCN,Core Level,core_elevation_notes,elevation_notes
column_name,CCRCN,Core Level,salinity_class,salinity
column_name,CCRCN,Core Level,salinity_method,salinity
column_name,CCRCN,Core Level,salinity_notes,salinity
column_name,CCRCN,Core Level,vegetation_class,vegetation
column_name,CCRCN,Core Level,vegetation_method,vegetation
column_name,CCRCN,Core Level,vegetation_notes,vegetation
column_name,CCRCN,Core Level,inundation_class,inundation
column_name,CCRCN,Core Level,inundation_method,inundation
column_name,CCRCN,Core Level,inundation_notes,inundation
column_name,CCRCN,Core Level,core_length_flag,core_length_flag
column_name,CCRCN,Soil Depth Series,study_id,dataset_name
column_name,CCRCN,Soil Depth Series,site_id,site_name
column_name,CCRCN,Soil Depth Series,core_id,core_name
column_name,CCRCN,Soil Depth Series,depth_min,depth_min
column_name,CCRCN,Soil Depth Series,depth_max,depth_max
column_name,CCRCN,Soil Depth Series,sample_id,sample_name
column_name,CCRCN,Soil Depth Series,dry_bulk_density,bulk_density
column_name,CCRCN,Soil Depth Series,fraction_organic_matter,organic_matter
column_name,CCRCN,Soil Depth Series,fraction_carbon,carbon_organic
column_name,CCRCN,Soil Depth Series,compaction_fraction,compaction_fraction
column_name,CCRCN,Soil Depth Series,compaction_notes,compaction_notes
column_name,CCRCN,Soil Depth Series,cs137_activity,137cs_activity
column_name,CCRCN,Soil Depth Series,cs137_activity_sd,137cs_activity_sd
column_name,CCRCN,Soil Depth Series,total_pb210_activity,total_210pb_activity
column_name,CCRCN,Soil Depth Series,total_pb210_activity_sd,total_210pb_activity_sd
column_name,CCRCN,Soil Depth Series,ra226_activity,226ra_activity
column_name,CCRCN,Soil Depth Series,ra226_activity_sd,226ra_activity_sd
column_name,CCRCN,Soil Depth Series,excess_pb210_activity,excess_p210pb_activity
column_name,CCRCN,Soil Depth Series,excess_pb210_activity_sd,excess_210pb_activity_sd
column_name,CCRCN,Soil Depth Series,c14_age,14c_age
column_name,CCRCN,Soil Depth Series,c14_age_sd,14c_age
column_name,CCRCN,Soil Depth Series,c14_material,14c
column_name,CCRCN,Soil Depth Series,c14_notes,14c
column_name,CCRCN,Soil Depth Series,delta_c13,delta_13c
column_name,CCRCN,Soil Depth Series,be7_activity,7be_activity
column_name,CCRCN,Soil Depth Series,be7_activity_sd,7be_activity_sd
column_name,CCRCN,Soil Depth Series,am241_activity,241am_activity
column_name,CCRCN,Soil Depth Series,am241_activity_sd,241am_activity_sd
column_name,CCRCN,Soil Depth Series,marker_date,marker_date
column_name,CCRCN,Soil Depth Series,marker_type,marker_type
column_name,CCRCN,Soil Depth Series,marker_notes,marker_notes
column_name,CCRCN,Soil Depth Series,age,age
column_name,CCRCN,Soil Depth Series,age_min,age
column_name,CCRCN,Soil Depth Series,age_max,age
column_name,CCRCN,Soil Depth Series,age_sd,age
column_name,CCRCN,Soil Depth Series,depth_interval_notes,depth_interval_notes
