Dataset_ID,Table,Info_type,Info,Variable ,Type,Questions?,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,metal_ext_units (extract_units),h_ext,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,metal_ext_method,h_ext,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,hzn,horizon,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,hzn_desgn,horizon_designation,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,hzn_desgn_other,horizon_designation_other,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,k_ext (specified by bc_units),k_ext,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,bc_units (extract_units),k_ext,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,bc_method,k_ext,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,landform (landform),landform,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,landform_note,landform,method,??Method??string,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,landscape (landscape),landscape,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,landuse (landsat),landuse,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,lat (dec. deg),latitude,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,degrees,latitude,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,lat (dec. deg),latitude,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,degrees,latitude,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,soc_lcount_ISCN,soil_organic_carbon_lcount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,cm,depth_max,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,layer_bot (cm),depth_max,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,carbon_lcount,carbon_lcount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,total_lcount,total_lcount,value_num,?,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,total_lcount,total_lcount,value_num,?,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,layer_name,layer_name,id,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,layer_note,layer_note,method,???method,<- I think so,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,soc_lcount,soil_organic_carbon_lcount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,soc_lcount,soil_organic_carbon_lcount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,layer_top (cm),depth_min,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,cm,depth_min,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,locator_alias,locator_alias,value_string,?,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,locator_parent_alias,locator_parent_alias,value_string,?,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,locator_parent_alias,locator_parent_alias,value_string,?,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,loi (percent),loi,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,percent,loi,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,long (dec. deg),longitude,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,degrees,longitude,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,long (dec. deg),longitude,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,degrees,longitude,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,map (mm),mean_annual_precipitation,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,mm,mean_annual_precipitation,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,mat (°C),mean_annual_temperature,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,celsius ,mean_annual_temperature,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,mg_ext (specified by bc_units),mg_ext,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,bc_units (extract_units),mg_ext,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,bc_method,mg_ext,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,mn_dith (specified by al_fe_units),mn_dith,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_units (extract_units),mn_dith,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_method,mn_dith,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,mn_other (specified by al_fe_units),mn_other,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_units (extract_units),mn_other,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_method,mn_other,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,mn_ox (specified by al_fe_units),mn_ox,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_units (extract_units),mn_ox,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_method,mn_ox,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,entry,YYYY-MM-DD,modification_date,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,modification_date (YYYY-MM-DD),modification_date,value_date,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,modification_date (YYYY-MM-DD),modification_date,value_date,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,entry,YYYY-MM-DD,modification_date,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,n_tot (percent),nitrogen_tot,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,percent,nitrogen_tot,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,na_ext (specified by bc_units),na_ext,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,bc_units (extract_units),na_ext,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,bc_method,na_ext,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,observation_date (YYYY-MM-DD),observation_date,value_date,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,observation_date (YYYY-MM-DD),observation_date,value_date,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,cNRCS_prep_code,total_carbon,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,c_method,total_carbon,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,oc (percent),carbon_organic,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,percent,carbon_organic,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_bray (specified by p_units),p_bray,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_units (extract_units),p_bray,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_method,p_bray,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_meh (specified by p_units),p_meh,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_units (extract_units),p_meh,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_method,p_meh,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_other (specified by p_units),p_other,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_units (extract_units),p_other,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_method,p_other,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_ox (specified by p_units),p_ox,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_units (extract_units),p_ox,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,p_method,p_ox,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,ph_method,pH,method,??? Should these be broken out like BD? ,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,ph_cacl,pH,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,ph_method,pH,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,ph_h2o,pH,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,ph_method,pH,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,ph_other,pH,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,soc_pcount_ISCN,soil_organic_carbon_pcount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,layer_bot (cm),depth_max,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,cm,depth_max,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,total_pcount,total_pcount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,profile_name,profile_name,id,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,profile_name,profile_name,id,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,dataset_name_soc,soil_organic_carbon,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,soc (g cm-2),soil_organic_carbon,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,soc_method,soil_organic_carbon,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,g cm-2,soil_organic_carbon,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,soc_carbon_flag,soil_organic_carbon,value_factor,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,soc_pcount,soil_organic_carbon_pcount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,soc_depth (cm),soil_organic_carbon_depth ,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,cm,soil_organic_carbon_depth ,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,soc_spatial_flag,soil_organic_carbon_spatial_flag,value_factor,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,layer_top (cm),depth_min,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,cm,depth_min,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,profile_zero_ref (profile_zero_ref),zero_reference,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,reference,reference,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,root_quant_size,root_quant_size,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,root_weight (g),root_weight,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,g,root_weight,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,runoff (runoff),runoff,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,sand_tot_psa (percent),sand,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,percent,sand,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,silt_tot_psa (percent),silt,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,percent,silt,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,soc_scount_ISCN,soil_organic_carbon_scount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,total_scount,total_scount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,site_name,site,id,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,site_name,site,id,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,site_note,site_description,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,site_perm (site_perm),site_perm,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,column,soc_scount,soil_organic_carbon_scount,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,slope (percent),slope,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,precent,slope,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,dataset_name_soc,dataset_soil_organic_carbon,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,soc (g cm-2),soil_organic_carbon,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,g cm-2,soil_organic_carbon,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,soc_carbon_flag,soil_organic_carbon,value_factor,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,soc_method,soil_organic_carbon,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,soil_series,soil_series,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,soil_series,soil_series,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,soil_taxon,soil_taxon,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,soil_taxon,soil_taxon,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,state (state_province),state_country,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,state (state_province),state_country,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,surface_veg,surface_veg,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,textureClass,soil_texture_class,value_factor,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,thaw_depth_profile (cm),thaw_depth_profile,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,cm,thaw_depth_profile,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,vegclass_local,vegetation_class,value_factor,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,vegclass_local,vegetation_class,value_factor,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,wpg2_method,wpg2 ,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,wpg2 (percent),wpg2 ,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,precent,wpg2 ,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,zn_ext (specified by metal_ext_units),zn_ext,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,metal_ext_units (extract_units),zn_ext,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,metal_ext_method,zn_ext,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,entry,ISCN 1-1 (2015-12-10),data_product_name,NA,,,,,,,,,,,,,,,,,,,,,
ISCN3,dataset,entry,ISCN 1-1 (2015-12-10),data_product_name,NA,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,ISCN 1-1 (2015-12-10),data_product_name,NA,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,ISCN 1-1 (2015-12-10),data_product_name,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,column,study_id,dataset_name,id,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,column,one_liner,one_liner,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,column,study_code,study_code,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,column,study_start_date,treatment_duration_start,value_date,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,column,study_end_date,treatment_duration_end,value_date,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,column,title,title,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,column,abstract,abstract,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Keywords,column,study_id,dataset_name,id,,,,,,,,,,,,,,,,,,,,,
CCRCN,Keywords,column,key_words,key_words,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,column,study_id,dataset_name,id,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,column,last_name,last_name,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,column,given_name,given_name,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,column,institution,institution,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,column,email,email,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,column,address,address,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,column,phone,phone,value_string,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,column,corresponding_author,corresponding_author,value_factor,,,,,,,,,,,,,,,,,,,,,
